Time,r,z,a
3.5860000000000003,-4.664421647612142,14.635145269962624,69.63952128416493
3.588,-4.667788455728423,14.611632288874512,69.66089809627982
3.59,-4.67115011256567,14.60606218827907,69.66518027422566
3.592,-4.674506629937179,14.609447573726511,69.66093318865876
3.594,-4.669575729298722,14.61040045062786,69.66152749393335
3.5959999999999996,-4.67292863870057,14.611351937270491,69.65960015197889
3.598,-4.684545462849561,14.603373093042176,69.66365519792632
3.6,-4.687881539771185,14.595407194142284,69.67022033772997
3.6020000000000003,-4.691212535754869,14.596367357654335,69.66828727456647
3.604,-4.694538462399397,14.612724201944065,69.65169716297501
3.606,-4.6896166964406705,14.644444159116226,69.6229960821684
3.608,-4.684701492537927,14.65426587301726,69.61513937823077
3.61,-4.688025406778158,14.639814788018368,69.62789021500045
3.612,-4.691344276867446,14.625384663258583,69.64061890334196
3.614,-4.694658114279087,14.610975453169022,69.65332549041734
3.6159999999999997,-4.697966930451628,14.594181043070103,69.66830036827216
3.6180000000000003,-4.701270736788935,14.59513645707012,69.66637829014014
3.62,-4.704569544660399,14.604946346569402,69.65602944519519
3.622,-4.707863365401024,14.605892680216758,69.65411851820514
3.624,-4.7111522103115675,14.613280066999792,69.64607836853082
3.626,-4.714436090658674,14.629493562833357,69.62963925088654
3.628,-4.717715017675001,14.645683681666284,69.6132236809843
3.63,-4.720989002559328,14.637771213610451,69.61975022100458
3.6319999999999997,-4.724258056476712,14.629871432195774,69.6262642046
3.634,-4.727522190558621,14.6372112323412,69.61827647100627
3.636,-4.730781415903027,14.63171828447429,69.62250108888729
3.6380000000000003,-4.734035743574537,14.626232329161342,69.62671906950095
3.64,-4.737285184604538,14.62075335305846,69.63093042727557
3.642,-4.740529749991345,14.606494516573392,69.64349309337435
3.644,-4.735646939914327,14.598653030547036,69.65245875568924
3.646,-4.722651434082186,14.599595583963415,69.65556687970772
3.648,-4.717786334409835,14.600536788221003,69.65616793622469
3.65,-4.721036970960316,14.601476646214493,69.65427387410027
3.6519999999999997,-4.7242827465173365,14.593662206563035,69.66070979255208
3.654,-4.727523671976448,14.579486127639367,69.67319681684643
3.656,-4.730759758200644,14.565330280604341,69.68566246705721
3.658,-4.733991016020482,14.548832726418265,69.7003527935752
3.66,-4.737217456234251,14.541084228707374,69.7067217453545
3.662,-4.732367763166932,14.542062091553445,69.70729342070354
3.664,-4.727524404819715,14.536684732350778,69.71390533831723
3.666,-4.73074904425646,14.531314149309953,69.71801461112892
3.6679999999999997,-4.7339688893733385,14.523600906747932,69.72435124965084
3.67,-4.745231593582902,14.507212643545756,69.7364341793344
3.6719999999999997,-4.756475528454023,14.49953125047696,69.74023375223788
